,Id,Review,Label,ans
300,300,well thought Many useful applicable techniques provided put work immediately,4,other
305,305,really informative original useful,4,other
309,309,Insightful,4,other
310,310,Incredibile package,5,other
314,314,technical fun exploration accounting analytics completed full gamut analytics business context covered specialization,5,other
316,316,Thank,5,other
317,317,Vote Pro Bushee,5,other
322,322,Great introduction Accounting Analytics Unexpected lecturing dialogues Could analytics additional optional problem sets explore deeply,3,other
329,329,little tough sometimes instructive,4,other
333,333,Nice one,5,other
336,336,Loved learnt also implemented project using Google MAP API organization Im working,5,other
338,338,problems really challenging thank However instructor active discussion forum pity really need help get stucked problem set,4,other
342,342,easy undestand needs examples,3,other
343,343,Good one,5,other
344,344,Great intro Ableton good handson experience Nice starting point seek expand music creation toolset,5,other
345,345,great fun easy learn,5,other
350,350,Really useful beginners,4,other
351,351,must want start using ableton,5,other
354,354,Great introduction Ableton 9 newcomers Youll learn basics enough start create music,5,other
356,356,awesome beginners,5,other
357,357,Cool best lineI learned lotThanks much,5,other
358,358,easy enjoy everyone also children old papa anyonethanks Erin Barra,5,other
359,359,Great introduction Ableton love music change way create sounds melodies rhythms,4,other
360,360,week longer,4,other
363,363,Perfect Starting point Ableton Live,4,other
364,364,Mo comment went way fast contact deep,1,other
366,366,Great beginners want get Ableton DAW,5,other
369,369,wellpresented thorough introduction fundamental tools available Ableton Live,5,other
372,372,Gives soft view precise information LiveIf looking input start recording start creating kind music strongly recommend,4,other
373,373,Great class learning fundamentals basics within Ableton live 9 Projects realistic designed educate student matter level knowledge,5,other
374,374,Great getting started feel much confident navigating way around Ableton workspace Using blend opened wonderful ideas opportunities,4,other
376,376,Fantastic helps create music represents,5,other
377,377,Fully recommend want dive Ableton Live,5,other
386,386,Dont recommendYoure better skimming ableton manual using search function get answers want,1,other
396,396,understand submitting process till fourth week feel could offered detailed description review fourth week justice peers,3,other
397,397,Excellent overview practice new ableton live users,5,other
399,399,Excellent start learning,5,other
407,407,great introduction ableton nothing,4,other
408,408,Keeps connected music music technology even work life,5,other
409,409,Learned lot Got started using program making music,4,other
412,412,Great introduction Ableton Live Covers stuff need know helps stumbling blocks,5,other
413,413,Excellent introduction live 9 comprehensive easy understand,5,other
415,415,Excellent learning basics,5,other
417,417,Really good resource anyone wanting learn basics super flexible software,4,other
422,422,interesting easy learning,5,other
423,423,MOOC teaches supposed although classes would nice since Ableton big program,5,other
424,424,Erin great easy follow instructor Thank,5,other
430,430,GREAT thanks lot,5,other
435,435,Excellent best way learn,5,other
436,436,moment Im week 2 Im loving itId really recommend,5,other
439,439,Great starting point learning use Ableton Live,5,other
440,440,Really nice Basic right,5,other
445,445,helped improve understanding Ableton Live getting better working program,5,other
446,446,Awesome Useful practical Erin wonderful instructor,5,other
449,449,Great specifically collaborative approach,5,other
451,451,waiting long time,5,other
452,452,Good information,4,other
454,454,work motivational clear well structured steady groove excellent,4,other
457,457,interesting,4,other
458,458,useful,5,other
459,459,best,5,other
460,460,Great Introduction programa quick look felt tutorial program covered lot info found youtube Although dont get certificate watching youtube,4,other
461,461,nice people starting abletobn program,4,other
463,463,already helpful mastering use Ableton understanding IO functions work polishing track mastering level Great program intuitive,5,other
464,464,Great overall introduction start creating straight away Liked much,5,other
466,466,Excellent introduction Ableton,5,other
468,468,love,5,other
471,471,helpful,5,other
474,474,Great intro Really gave confidence DAW,4,other
475,475,don´t need anything else get started Ableton,5,other
478,478,Great class get feet wet ableton,5,other
482,482,Great tools solid instructions Thanks,5,other
488,488,excellent class Lots great information,5,other
494,494,details ther software would definitely useful,5,other
497,497,class inspiring worth wait Thank,5,other
501,501,gave good understanding software capabilities,5,other
502,502,introduction Fusion customer presentation advanced CAD user tutorial newbies,2,other
503,503,Wow inspiring journey,5,other
511,511,Wellorganised good beginners intermediate learners,5,other
514,514,love Thanks us,5,other
522,522,Perfect,5,other
528,528,awesome,5,other
529,529,Excellent impressed explain well interesting learn despite accent,5,other
533,533,V difficult rewardingI get grade thought would classbut learned lot thought could depth thorough think value knowledge received subpar grade received,5,other
541,541,Im loving far,5,other
545,545,gusto mucho,5,other
546,546,gusto mucho,5,other
547,547,chevere,5,other
548,548,loved funny relaxing,5,other
549,549,EXCELENTE CURSOGRANDES TUTORASEXCELENTE METODOLOGIA DE ENSEÑANZA APRENDIZAJESE ABORDARON LOS TEMAS DE MANERA ENTENDIBLE COMPRENSIBLE CON RETOS QUE INVITAN RAZONAR APLICAR LOS CONOCIMIENTOS ADQUIRIDOSESPERO PIENSEN ELABORAR UNA SEGUNDA ETAPA DE INTERMEDIA AVANZADA,5,other
551,551,Muy buen curso para aprender Scratch,5,other
554,554,easy good explanations,5,other
555,555,cool,5,other
561,561,like way presented,5,other
566,566,depth step step explanations use Excel Analysis Visualization,5,other
569,569,Good basic skills creating clear compelling graphs visualizing data,5,other
570,570,Great,5,other
572,572,superb learning experience,5,other
576,576,Useful information Visualization Excel data presenting,5,other
578,578,good overview practical exercises keep learners focus Exercises technical get ready spend time,4,other
580,580,ideas powers Excel Thank lot,5,other
589,589,useful comprehensive,5,other
593,593,Good one,5,other
595,595,Ive know many skills competition many true cases Thanks,5,other
597,597,difficult understandinterestinghelpful making choices,5,other
604,604,research needs like six months,4,other
616,616,Exciting presentation Excellent portrial periodic changes thinking TJ rise fall revival conroversial thinker truly renaissance men inspire future generations America would exceptional even free country empowed people,5,other
627,627,already love Jefferson life long love affair nice,5,other
632,632,Fantastic stuff anyone interesting subject matter,5,other
637,637,Outstanding overview one important figures American History,5,other
639,639,informative,5,other
647,647,Great thanks,5,other
652,652,Good learning plan software product development using Agile,5,other
653,653,interestening starting Agility learned understood lot thingsEasy understand English mother tongueThank much,5,other
654,654,great class,5,other
655,655,Good Planning methodologies examples,5,other
656,656,Really learning alot well explained illustrated,5,other
658,658,Tons great info However would great go reallife applications concepts,5,other
664,664,great learning experience,5,other
665,665,79 USD able submit peergraded assignments talk greed,1,other
667,667,Pretty good bit tough compared rest though,5,other
671,671,Full new information agile planning,5,other
674,674,easy understand,5,other
675,675,think estimation methods really realistic,4,other
685,685,Really enjoyed,5,other
686,686,Makes lots things understandable clear,5,other
691,691,Ambiguous assignments led cumbersome completion peer grading got little annoying sometimes took forever get feedback lot times feedback minimal criteria grading vague people took WAY seriously,3,other
692,692,best newbie management field find valuable information inside,4,other
693,693,highly recommend entire specialisation clearly taught requires practical application throughout Ive learned great deal thoroughly enjoyed process Many many thanks Uni Alberta,5,other
694,694,Room improvementCase studiesMore Assignment,4,other
695,695,Thanks,5,other
698,698,really liked,5,other
703,703,Superduper useful,5,other
705,705,Another excellent module truly excellent Specialization,5,other
710,710,tough though instructive,3,other
716,716,interesting informative useful quite like selfquestioning part makes publication reading effortless Thanks,5,other
725,725,Really useful focused motivating Hihgly recommended,5,other
736,736,THANK,5,other
740,740,interesting full real case study,4,other
747,747,nice one get strategy kind competionsyou could pass even didnt go Part1anyhow useful understand basis,4,other
748,748,excellent hint humour otherwise rather arid topicthanks,5,other
753,753,Absolutely useful make easy understand probably best MOOC I´d ever apply,5,other
754,754,love,5,other
759,759,Overall good subjectHowever slides well organizedMany questions assignment tricky,3,other
763,763,Varied wellexplained held interest throughout criticism English written quizzes especially final exam needs reviewing native speaker answers ambiguous properly explain context situation,4,other
770,770,Worldclass,5,other
772,772,informative learned lot,4,other
779,779,Good,5,other
781,781,great learning interesting issues,5,other
784,784,Awesome concept learn,5,other
785,785,Insightful,4,other
787,787,5 stars Great University Enjoyed learned,5,other
789,789,Im happy make learnt much academic writing thanks,5,other
796,796,says advanced writing advanced college students advanced overall found extremely basic,1,other
799,799,learned write different types essays,5,other
800,800,Pretty good,5,other
802,802,helpful least,5,other
804,804,perfect brainstorming exercise academic essay writing,5,other
805,805,helps build essaywriting muscles gradually much emphasis plagiarism flaws grading forms level participants quite mixed feedback give useless good,2,other
807,807,really love cause writing skills really impoving like peers reviewsit really train writing well,5,other
808,808,try soon Looks promising informative,5,other
809,809,okay expected okay,3,other
812,812,really useful,5,other
813,813,found useful,5,other
820,820,Loved,5,other
827,827,Great,5,other
828,828,great class review learned years ago wish could participated assignments wo purchasing class able classes loved class would recommend,4,other
830,830,really useful start applying everything Ive learn collage tasks,4,other
831,831,Great learning experience,5,other
832,832,Thank everything,5,other
835,835,easy steps learn lot assignments practice Good workThank,5,other
836,836,wonderful useful,5,other
838,838,great thank,5,other
839,839,Perfect,5,other
846,846,would extremely useful teaching techniques write advancedlevel essays,4,other
851,851,good must engaged,5,other
852,852,beneficial international students prepared TOEFL iBT IELTS,5,other
856,856,learn lot class far Im difficult Quiz know take notes hahaha,5,other
858,858,advanced,2,other
860,860,helped phd writing thesis,5,other
862,862,nice things good examples,4,other
863,863,Fantastic fun,5,other
867,867,easily understood,5,other
877,877,Accurate clear,5,other
878,878,thank opening ideas world neurobiology learned lot far Im sure learn much greetings GuayaquilEcuador,5,other
888,888,Boring cant make sense presentation language idiom use,2,other
892,892,gusto,5,other
898,898,much bla bla bla slowly boring,3,other
902,902,optimization fragmentationalgos arithmos olokliromafractal resilience,5,other
910,910,intriguing,5,other
914,914,information presented interesting seemed oddly biased towards perspective highly educated foreigners hoped get information America seen foreign masses,2,other
915,915,seemed kind dumb first got better,4,other
916,916,revealing look rest world views USA Perhaps offered high school students somt hey better understand nationalities react Americans,5,other
918,918,translations available despite subtitles transcripts say,1,other
931,931,rewarding insightfull learned ton,5,other
934,934,amazing experience learned much Thank,5,other
945,945,Great mental workout Wellexplained coding challenges bonus questions challenging enough allow lot growth even advanced students,5,other
946,946,someone UK high school level maths managed follow still confused logarithms guess go read maths computer science resource,4,other
949,949,Sometimes much mathematics,4,other
954,954,Well designed good refresh basics many top algorithms,5,other
974,974,Tim Roughgarden teaches wit depth Speaking idiomatic verve injects life Algorithms,5,other
975,975,must wannable computer geek,5,other
977,977,good review divide conquer algorithms however recommend willing put hard work found challenging,5,other
979,979,Useful,5,other
982,982,Challenging Insightful Definitely worth,5,other
986,986,Awesomeright know algorithms important,5,other
989,989,Cool class,5,other
991,991,Great,4,other
992,992,Challenging fun,5,other
1005,1005,Needs handson experience highschool probability help crack exams,4,other
1007,1007,would nice see examples especially many formulas still confused probabilityAlso hadwritting isnt really helping time decoding scripts addition reading formula one moment around 34 seconds appears screen kind listening trying read happening screen horrible experience,3,other
1017,1017,good depth knowedge,3,other
1020,1020,Useful refresher,5,other
1021,1021,learned lot lot lot say Fantastic,5,other
1025,1025,really enjoyed Perfect balance practice theory together clear explanations also appreciate mentors efforts always answer questions try help Thank Tim Vassilis Arjit,5,other
1027,1027,Good learning,4,other
1030,1030,Excellent mix math much programming details probably needs little bit practical applications,5,other
1037,1037,challenging interesting,5,other
1043,1043,Well done made difficult topic accessible,5,other
1044,1044,u math definitely help u advance,4,other
1047,1047,lot calculation errors incorrect answers,2,other
1048,1048,Great,4,other
1050,1050,Thank lot,5,other
1056,1056,new teaching AP Chem class great refresher meI suggested students enroll,5,other
1059,1059,mistakes weird glitches overall solid overview secondhalf chem,4,other
1061,1061,realy helpfull interesting,5,other
1062,1062,Itts great Nicely explained step step resolution problems loked,5,other
1063,1063,Great explanation satisfied,5,other
1065,1065,like ALOT 13 taking science class starting get lost saying,2,other
1066,1066,Needs means feedback Several times felt sure question wrong theres nothing done Additionally would nice completing passing test could see wrong answer determined,4,other
1067,1067,easy follow,4,other
1070,1070,great Thank everything,5,other
1074,1074,kind boring learning half info obtained relevant real world chemistry,3,other
1075,1075,Thank reviving interest chemistry,5,other
1076,1076,subjects well covered Great explanation recommendable,5,other
1079,1079,challenging well presented,5,other
1090,1090,Great Job Andy definitely best,5,other
1104,1104,good starting point learn Ancient Greeks,4,other
1107,1107,informative filled interesting tidbits loved,5,other
1112,1112,Cool,5,other
1113,1113,Perfect,5,other
1118,1118,Quality Qu,5,other
1121,1121,learned many issues insights satisfied,5,other
1124,1124,keep thinking Greeks,5,other
1129,1129,global balance view ancient greek history,5,other
1130,1130,Great love learn,5,other
1140,1140,interesting wish animation film explain narative,3,other
1148,1148,tests difficult,1,other
1150,1150,informative interesting,5,other
1152,1152,well presented thought provoking,4,other
1162,1162,nice way learn greeks fews words Awseome,5,other
1164,1164,wonderful swathe Greek history Im glad invited alongThank,5,other
1174,1174,Informative enjoyable,5,other
1175,1175,Well presented enjoyable,5,other
1178,1178,Gave great overview ancient greeks would like visit ancient places,5,other
1179,1179,lesson discussion question quizz,3,other
1180,1180,love history class perfect historians alike,5,other
1182,1182,great educational experience opened door ancient Greek history,4,other
1185,1185,interesting well explained,5,other
1188,1188,Limited scope good timetopics covers,5,other
1201,1201,interesting useful introduction Ancient Greeks era,5,other
1208,1208,wonderful guided tour ancient greece bronze age Alexander Thank,5,other
1210,1210,useful newcomer,5,other
1211,1211,wonderful class though kind hard like much,5,other
1213,1213,COMPLETAMENTE RECOMENDADO PARA CONOCER LA INGENIERÍA QUE SE APLICA EN LOS SISTEMAS DE TRANSPORTE,5,other
1214,1214,good leran much,5,other
1217,1217,Far easy,2,other
1219,1219,Nice clear,5,other
1229,1229,Good sessions assignments,4,other
1231,1231,Incredible collection graph algorithms Thoroughly enjoyed,5,other
1233,1233,loved great work instructorswhile true thank much,5,other
1237,1237,Great,4,other
1239,1239,good explanations,4,other
1248,1248,Awesome explanation concise,5,other
1249,1249,helped understand graphs programming point view got fun solving problems,5,other
1253,1253,refresher excellent way explain work graphing algorithms stepbystep explanations algorithms great truly understanding whats going hood speak,5,other
1255,1255,Good Questions good Test Cases,5,other
1256,1256,basic graph algorithms covered,5,other
1259,1259,useful fundamental interesting assignment,5,other
1261,1261,Excellent learn new algorithms graphs,5,other
1276,1276,Good work Every concept well explained,5,other
1277,1277,Neat suitable examples topics,5,other
1280,1280,Excellent inputs graph theoretic algorithms,5,other
1287,1287,really greatbut little bit difficult,5,other
1302,1302,Awesome Thanks lot providing free cost,5,other
1305,1305,thanks,5,other
1307,1307,thanks，verygood,5,other
1316,1316,useful,5,other
1319,1319,Topics interesting explanation boring,3,other
1321,1321,best,5,other
1326,1326,completely,4,other
1331,1331,nice explain learnand much。。。,5,other
1332,1332,ten year old Engineer recommend every engineer need carefully review,5,other
1333,1333,Great way explaining topics,5,other
1341,1341,outstanding treatment basic algorithms 5,5,other
1343,1343,Great class,5,other
1349,1349,followed every people say programmer,5,other
1362,1362,Thank much,5,other
1364,1364,Really clear explanation every algorithm exercises quite challenging helpful,5,other
1369,1369,good would certainly recommend lessons clear cut assignments meaningful demanding,5,other
1381,1381,helpful,5,other
1388,1388,challenge though also help learn lot five projects High recommend,5,other
1390,1390,one greatest things go,5,other
1398,1398,informative helpful,5,other
1400,1400,effective,5,other
1403,1403,Great,5,other
1405,1405,interesting clear Great value,5,other
1409,1409,learn code like method solve problem,5,other
1412,1412,pretty good,5,other
1426,1426,Changed way thinking Thank,5,other
1429,1429,programming skills reached new heights Thank,5,other
1435,1435,complex concepts explained simply,5,other
1438,1438,would helpful let us see forums previous sessions,4,other
1439,1439,greathope continue learn untill end,5,other
1440,1440,gorgeous cource Ive enjoyed studyingI learned lot newThanks,5,other
1441,1441,Wonderful couse computer scientists,5,other
1442,1442,Absolutely 5 stars,5,other
1449,1449,interesting hard Interview questions sometimes trickier practical exercises,5,other
1450,1450,helpful detailed,5,other
1454,1454,makes algorithms simple interesting,5,other
1456,1456,Excellent introduction thinking formally program effectively,5,other
1459,1459,Thank helpfull,5,other
1460,1460,problem statements preparation,5,other
1472,1472,Fun engaging clearly explained,5,other
1473,1473,learned lot algorithms best approaches solving coding use BigO notation,5,other
1485,1485,Challenging interesting assignments Recommend basic programming background,5,other
1494,1494,best,5,other
1499,1499,useful,5,other
1506,1506,grading system helpful debuggingA little suggestion personally would go forum unless meet problems actually find may missed great thinking ignoring would better subscription feature like whats trending Forum reminder learners participate discussionAnd like every weeks interview question thank effort,5,other
1509,1509,Great Thanks,5,other
1510,1510,Great explanations good assignments,5,other
1513,1513,Would great certificate,5,other
1519,1519,niceIt better offered quiz feedbacknot coding assignment,5,other
1526,1526,Outstanding Would recommend class anyone interested software construction,5,other
1531,1531,Loved basic knowledge serious programmer,5,other
1533,1533,amazing class best class ever seen,5,other
1537,1537,Challenging greater refresher core Computer Science topics,5,other
1538,1538,makes learn muchthank much,5,other
1541,1541,Strongly Recommend Algorithm Study！,5,other
1542,1542,Great,5,other
1544,1544,Simply Awesome,5,other
1550,1550,Great,5,other
1555,1555,Excellent beginning one wants understands algorithms,5,other
1562,1562,good introduction though would appreciated readings suggestions look topics depth particularly Financial Services Metrics disorienting use actual data sets final peer assessment,4,other
1563,1563,Provides good overview metrics think good starting point,4,other
1566,1566,good stuff informative exceedingly challenging,5,other
1567,1567,good concepts introduce world business analysis,5,other
1570,1570,Educative knowledge key running business,5,other
1571,1571,Industry relevant information presented well examples pace sessions good well,5,other
1572,1572,helpful know meaning metric different analysis,5,other
1574,1574,good overview business metrics,5,other
1575,1575,good class useful Thank much！,5,other
1576,1576,thought great prerequisite valuable know effective data analyst,5,other
1577,1577,useful,4,other
1578,1578,good class already bit business analytics knowledge good buildup class starts slowly terminology builds technical analyses Great overall,5,other
1585,1585,Peer Reviewers seem keen take marks dont bother reading assignment,4,other
1586,1586,new good expirience However expect see alculations practical tasks calculate smthn make conclusion analize results,4,other
1593,1593,Awesome Class fun DATA,5,other
1594,1594,talking money managers hedge funds data analytics business never saw connection never explained,3,other
1596,1596,good understand broad concept business metrics,4,other
1599,1599,Good basic intro business metrics,4,other
1613,1613,enjoyed class much,5,other
1615,1615,good introduction moves right pace,5,other
1625,1625,easy entry point logical decisionmaking,5,other
1629,1629,Easy pointless,2,other
1630,1630,Great start certificate Sometimes industrybased case studies seemed jarringcould use slightly better Tup Otherwise really enjoyed,5,other
1633,1633,helps identify clearly metrics need situation,5,other
1636,1636,Good intro,3,other
1637,1637,learned lot thanx,5,other
1646,1646,Great introduction Business Metrics,5,other
1649,1649,helpful introduction business analytics,5,other
1652,1652,Really useful lot knowledge beginner want pursuit job related data,5,other
1654,1654,good informative,5,other
1655,1655,easy follow pacing bit uneven Overall good introduction,4,other
1659,1659,General Introduction interesting topic,5,other
1660,1660,awesome,5,other
1662,1662,Simple basics needed later workGood introduction Big Data world,5,other
1663,1663,Helpful terms understanding Data Driven Businesses,5,other
1668,1668,learn lot,5,other
1669,1669,Worked youre sort thing,5,other
1673,1673,general information explanation movies great,3,other
1677,1677,really like dont need prior experience learned lot,5,other
1679,1679,really informative technical engineers want know business count,4,other
1683,1683,interesting explained common language Looking forward next modules,4,other
1688,1688,learned relevant business metrics classification,5,other
1689,1689,great learn lot valuable topics using daily basis,5,other
1691,1691,would better final assignment assessed instructor,4,other
1692,1692,good tests better planned,3,other
1693,1693,Nice Refresh technics concepts,5,other
1695,1695,complete exposition data analysis emerging jobs,5,other
1697,1697,learned interesting things Thank,5,other
1699,1699,Excellent informative,4,other
1702,1702,Highly informative adoptable knowledge learn Business Manager,5,other
1706,1706,Pretty good overview simple business metrics definitions basic level analysis good refresher analytics background also puts things perspective business setting good working field,3,other
1707,1707,Basic introduction data analytics,2,other
1708,1708,metrics introduce broad helps idea businesses function modern world also introduced theoretical business attention business metrics important good technical quantitative background business background,4,other
1710,1710,really interesting helpful work Thank,5,other
1711,1711,Easy follow quizzes help reinforce information learned,5,other
1712,1712,Awesome class learned wealth information,5,other
1713,1713,Excellent introduction business metrics,5,other
1716,1716,Effective,5,other
1722,1722,Valuable useful info aspiring business analysts,4,other
1726,1726,instructor bad presenting dry monotonic Omg really want learn cant stand talking,1,other
1727,1727,great start subject matter Clear concise easily relates actual business principles,4,other
1733,1733,Super overview business metrics,5,other
1745,1745,useful,5,other
1746,1746,Good knowing basis business analysts,5,other
1758,1758,Maybe little application activities overall well,4,other
1761,1761,Great experience fun learn,5,other
1762,1762,feel like examples case studies panel interviews would help,3,other
1763,1763,Clear explanation easy understand relevant interest,5,other
1765,1765,Perfect lectors first class information,5,other
1775,1775,Useful practical,5,other
1778,1778,brief concise introduction data relationship business area,5,other
1784,1784,Great intro different types data valuable information companies use types data real world jobs hire data world etc Loved practical information,5,other
1785,1785,Good information data analyst,5,other
1787,1787,Good thought provoking class good foundation class take taking MySQL Tableau Excel stats classes,4,other
1788,1788,Great introduction Business metrics,5,other
1789,1789,lot time devoted job stuff may super relevant students certainly super relvant,3,other
1793,1793,Found boring pretty irrelevant hoping lean metrics especially digital marketing section Pretty let 79 waste,2,other
1795,1795,informative,4,other
1802,1802,good lesson bring great understanding datadriven companyWorth taking,5,other
1805,1805,Come leave feeling like conquer dataThe learning quantity combine qualityThe tutors knowledgeable detailedLove,5,other
1806,1806,Extremely interesting really helpful,5,other
1807,1807,Good introduction Theme subjects entirely connected weeks,3,other
1808,1808,Eggar brilliantbut week 4 could understand,4,other
1809,1809,impressive good insight provided,5,other
1814,1814,Lots information helps start something field right away,5,other
1815,1815,Looking useful,5,other
1824,1824,Great introduction Subject,3,other
1827,1827,Clear basic knowledge know data analyst,4,other
1828,1828,Good introduction business metrics less enthusiastic investment metrics formulas might,3,other
1829,1829,Great introduction,5,other
1831,1831,basic yet interesting introduction field business intelligence,4,other
1833,1833,Great class great intro get excited data analysis good class people background,4,other
1834,1834,Useful touch real life uncertanities,5,other
1839,1839,think pace little,4,other
1840,1840,Great insights business metrics practical approach,5,other
1842,1842,entry level information,2,other
1843,1843,Basic Simplified great,5,other
1844,1844,Well done useful Thank,5,other
1845,1845,Amazing introduction specialization apt,5,other
1847,1847,Solid introduction slightly disjointed fairly boring presentation,3,other
1848,1848,good insights provided freshers point perspective,5,other
1851,1851,good explanation sound instructors,5,other
1852,1852,Really useful introduction helps orientate oneself path data analysis work,4,other
1855,1855,Well designed well taught,5,other
1858,1858,learnt lot new thingsthank,5,other
1864,1864,love concepts possible impact business analysis overall business success,5,other
1867,1867,Useful,5,other
1876,1876,Great class,5,other
1877,1877,idea whole new Appreciate Thanks,5,other
1879,1879,Great class,5,other
1882,1882,Good introduction business metrics enough practical stuff,4,other
1886,1886,Good Looking forward next,4,other
1888,1888,Overall good introduction business concepts,4,other
1889,1889,Easy follow yet comprehensive introduction field,5,other
1897,1897,Totally loved Thank guys,5,other
1905,1905,useful knowledge relevant examples provided,4,other
1907,1907,Excellent coverage relevant metrics Learned lot,5,other
1909,1909,Meh okay,3,other
1910,1910,Great elaborate explication data analysis concepts Thanks,5,other
1913,1913,helpful people wish understand basic ideas data analysis,5,other
1916,1916,Clear helpful,5,other
1918,1918,easy,4,other
1924,1924,data analysis must take,5,other
1927,1927,great,5,other
1928,1928,really like portion went detail business analytics related career paths technical skill ne,2,other
1929,1929,Great,5,other
1942,1942,Realistic view resolve business problems Great learning,5,other
1945,1945,good introductory class business metrics,5,other
1953,1953,good thanks,5,other
1963,1963,useful,5,other
1965,1965,much taught guess good beginning specialization,3,other
1968,1968,Essential knowing company makes decisions based numerical data,5,other
1970,1970,Good class,5,other
1974,1974,good instructor,4,other
1975,1975,Excelente,5,other
1978,1978,Good introduction data science driven approach understanding data science driven career,4,other
1984,1984,fairly dense sensible things know,4,other
